"module name","license","repository"
"@ng-select/ng-select@7.3.0","MIT","https://github.com/ng-select/ng-select"
"@ngx-translate/core@13.0.0","MIT","https://github.com/ngx-translate/core"
"@ngx-translate/http-loader@6.0.0","MIT","https://github.com/ngx-translate/http-loader"
"@types/lodash-es@4.17.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.14.176","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/validator@13.6.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"acorn@7.4.1","MIT","https://github.com/acornjs/acorn"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"bq-start-prime@0.0.1","Custom: https://github.com/angular/angular-cli",""
"core-js@3.16.0","MIT","https://github.com/zloirock/core-js"
"crypto-js@4.1.1","MIT","https://github.com/brix/crypto-js"
"lodash-es@4.17.21","MIT","https://github.com/lodash/lodash"
"moment@2.29.1","MIT","https://github.com/moment/moment"
"oidc-client@1.11.5","Apache-2.0","https://github.com/IdentityModel/oidc-client-js"
"primeflex@3.0.1","MIT","https://github.com/primefaces/primeflex"
"primeicons@4.1.0","MIT","https://github.com/primefaces/primeicons"
"primeng@12.0.1","MIT","https://github.com/primefaces/primeng"
"randombytes@2.1.0","MIT","https://github.com/crypto-browserify/randombytes"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"serialize-javascript@4.0.0","BSD-3-Clause","https://github.com/yahoo/serialize-javascript"
"tslib@2.3.0","0BSD","https://github.com/Microsoft/tslib"
"validator@13.6.0","MIT","https://github.com/validatorjs/validator.js"
